Tipo,Cliente,Origen,Destino,Flete_USD,Cruce_USD,Tipo_Cambio,Casetas,Lavado_Termo,Movimiento_Local,Pension,Estancia,Rendimiento_Camion,Costo_Diesel
IMPORTACION,ADITIVOS Y MATERIAS PRIMAS DE OCCIDENTE SA DE CV,NUEVO LAREDO,GUADALAJARA,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,AGRICOLA MONALISA  SPR DEL RL,CORTAZAR,LAREDO,2500.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,ALSER LOGISTICS LLC,NUEVO LAREDO,SALAMANCA,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"BEEF G & G., S.A. DE C.V.",NUEVO LAREDO,AGUASCALIENTES X ZAC,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,BIORGANIC PACKING S DE RL DE CV,ACAMBARO,NUEVO LAREDO X SALVATIERRA,2450.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,C R ENGLAND INC,TEPOTZOTLAN,NUEVO LAREDO,2450.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,C R ENGLAND INC,ATLACOMULCO,NUEVO LAREDO,2350.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,C R ENGLAND INC,TIZAYUCA,NUEVO LAREDO,2250.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"CARLFOODS., S.A. DE C.V.",NUEVO LAREDO,IZTACALCO,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,"CFI LOGISTICA, SA DE CV",CELAYA,NUEVO LAREDO,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"CFI LOGISTICA, SA DE CV",NUEVO LAREDO,SAN LUIS POTOSI,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,"CFI LOGISTICA, SA DE CV",TIZAYUCA,NUEVO LAREDO,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,COMERCIALIZADORA DE LACTEOS Y DERIVADOS S.A. DE C.V.,NUEVO LAREDO,CUAUTITLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,COMERCIALIZADORA DE LACTEOS Y DERIVADOS S.A. DE C.V.,NUEVO LAREDO,TIZAYUCA,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,CREMERIA ABASTOS BELEM S DE RL DE CV,NUEVO LAREDO,GUADALAJARA,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,"ELITE PRODUCE., S.A. DE C.V.",TUZUAPAN,NUEVO LAREDO,3100.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,"ELITE PRODUCE., S.A. DE C.V.",ANTUNEZ,NUEVO LAREDO,3250.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"EMBUTIDOS CORONA, SA DE CV",NUEVO LAREDO,ZAPOPAN ( POR SLP ),,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"EMPACADORA CAMPO FRIO, S.A. DE C.V.",NUEVO LAREDO,DEL.VENUSTIANO CARRANZA,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"EMPACADORA MURGATI, S.A. DE C.V.",NUEVO LAREDO,TLAXCOAPAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"EMPACADORA MURGATI, S.A. DE C.V.",NUEVO LAREDO,TEPOTZOTLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"EMPACADORA MURGATI, S.A. DE C.V.",NUEVO LAREDO,TEPOTZOTLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"ESPECIA, SA DE CV",NUEVO LAREDO-IZTAPALAPA,,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,GASTROSOPHIA SA DE CV,NUEVO LAREDO,CUAUHTEMOC,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,GRANJERO FELIZ S DE RL DE CV,NUEVO LAREDO,PENJAMO X QRO,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGLOO TRANSPORT BROKER LLC,TECOMAN,NUEVO LAREDO,3200.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGLOO TRANSPORT BROKER LLC,TEPOTZOTLAN,NUEVO LAREDO,2750.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGLOO TRANSPORT BROKER LLC,URUAPAN,NUEVO LAREDO X SAN FELIPE,2750.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGNIS LOGISTICS INC,ACATZINGO,LAREDO,3100.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGNIS LOGISTICS INC,IRAPUATO,NUEVO LAREDO X LAGOS,2450.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,IGNIS LOGISTICS INC,JALOXTOC,NUEVO LAREDO,3300.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,IGNIS LOGISTICS INC,NUEVO LAREDO-IZTAPALAPA,,2100.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,LA HACIENDA FROZEN FOODS INC,SILAO,NUEVO LAREDO X SAN FELIPE,2225.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"LONG JIN CHU KOU MEXICO, S.A. DE C.V.",NUEVO LAREDO-IZTAPALAPA,,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,M3 TRANSPORT LLC,TOLUCA,NUEVO LAREDO,2100.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,M3 TRANSPORT LLC,IZTAPALAPA,NUEVO LAREDO,2300.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,M3 TRANSPORT LLC,ZAPOPAN,NUEVO LAREDO ( FLEXTRONICS ),2100.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,NATURASOL SA DE CV,NUEVO LAREDO,TEPOTZOTLAN,1900.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"OPERADORA NEW YORK DELI, SA DE CV",NUEVO LAREDO,ECATEPEC DE MORELOS,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"PALOS GARZA LOGISTICS, LLC",NUEVO LAREDO,"ORIENTAL, PUEBLA",2100.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,PROCESADORA DE ALIMENTOS OMEX SA. DE CV.,NUEVO LAREDO,AYOTLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,PROMOCION Y MERCADEO INTERNACIONAL SA DE CV,NUEVO LAREDO,CUAUTITLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,PROMOCION Y MERCADEO INTERNACIONAL SA DE CV,NUEVO LAREDO,TEPOTZOTLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,SALCHICHAS Y JAMONES DE MEXICO S.A. DE C.V.,NUEVO LAREDO,CUAUTITLAN,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,SALCHICHAS Y JAMONES DE MEXICO S.A. DE C.V.,NUEVO LAREDO,TOLUCA,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,SALCHICHAS Y JAMONES DE MEXICO S.A. DE C.V.,NUEVO LAREDO-TEOLOYUCAN,,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"SET FREIGHT INTERNATIONAL, LLC",NUEVO LAREDO,CUAUTITLAN,2200.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,"SINERGIA CORPORATIVA EN LOGISTICA Y ALMACENAMIENTO., S.A. DE C.V.",NUEVO LAREDO,AZCAPOTZALCO,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,SUSAZON SA DE CV,NUEVO LAREDO,CELAYA,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,VEGGIE PRIME SAPI DE CV,"COLON, QRO",NUEVO LAREDO,2300.0,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,VISCERAS SELECTAS DEL BAJIO S. DE RL. DE CV.,NUEVO LAREDO,NEZAHUALCOYOTL,,0,18.0,0,0,0,0,0,2.5,24.0
IMPORTACION,VISCERAS SELECTAS DEL BAJIO S. DE RL. DE CV.,NUEVO LAREDO,PENJAMO X QRO,,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,WEST PAK AVOCADO LLC,URUAPAN,NUEVO LAREDO X SAN FELIPE,2700.0,0,18.0,0,0,0,0,0,2.5,24.0
EXPORTACION,WORLDWIDE FOOD CORP,TUZUAPAN,NUEVO LAREDO,3095.0,0,18.0,0,0,0,0,0,2.5,24.0
